Plec,Preferowany_Produkt
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_C
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Mezczyzna,Produkt_A
Kobieta,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_C
Mezczyzna,Produkt_C
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_A
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Mezczyzna,Produkt_C
Kobieta,Produkt_C
Kobieta,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_A
Kobieta,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Kobieta,Produkt_A
Kobieta,Produkt_C
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_A
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_C
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_C
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Kobieta,Produkt_B
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Kobieta,Produkt_C
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_C
Mezczyzna,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Mezczyzna,Produkt_C
Mezczyzna,Produkt_C
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Kobieta,Produkt_A
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_B
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_C
Kobieta,Produkt_B
Kobieta,Produkt_B
Mezczyzna,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Kobieta,Produkt_C
Kobieta,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_C
Kobieta,Produkt_B
Mezczyzna,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Mezczyzna,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_A
Kobieta,Produkt_A
Mezczyzna,Produkt_B
Mezczyzna,Produkt_C
Kobieta,Produkt_B
Mezczyzna,Produkt_B
Kobieta,Produkt_A
